ParA,10889,plasmidpartitioningproteinParA,Inc?,pXO2,288,90.6
ParA,10889,"ATPase,ParAfamily",Inc?,pXO2,288,90.6
ParA,10889,cobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,4,288,*
ParA,10889,paraAfamilyATPase,Inc?,pXO2,288,90.6
ParA,10889,"ATPase,ParAfamily,(pXO2-39)",Inc?,pXO2,288,90.6
ParA,10889,"ATPase,ParAfamilyprotein",Inc?,pXO2,288,90.6
ParA,10889,"ATPase,ParAfamily",Inc?,pX02,288,90.6
ParA,10889,plasmidpartitioningproteinParA,Inc?,pX02,288,90.6
ParA,10889,cobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,2,281,72.9
ParA,10889,cobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,pXO2,258,90.3
ParA,10889,cobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,unnamed,218,78.3
ParA,10111,ATPase,Inc?,pEF-01,303,99.3
ParA,10111,chromosomepartitioningproteinParA,Inc?,unnamed,214,98.6
ParA,12536,chromosomepartitioningprotein,Inc?,unnamed,468,78.4
ParA,12536,chromosomepartitioningprotein,Inc?,unnamed1,259,85.7
ParA,12536,putativechromosomepartitioningproteinParA,Inc?,p2MP,256,78.1
ParA,12536,putativeParAchromosomepartitioningprotein,Inc?,pJ337-114,256,78.9
ParA,12536,"Cobyrinicacida,c-diamidesynthase",Inc?,3,256,79.3
ParA,75024,plasmidpartitioningprotein,Inc?,pSYSM,201,99.0
ParA,75024,plasmidpartitioningprotein,Inc?,pSYSM,201,99.0
ParA,75024,ParAfamilychromosomepartitioningprotein,Inc?,pSYSX,198,100.0
ParA,75024,ParAfamilychromosomepartitioningprotein,Inc?,pSYSX,198,*
ParA,63124,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,VS116,42,*
ParA,12538,chromosomepartitioningproteinParA,Inc?,lp48,259,*
ParA,12538,PF32plasmidpartitionprotein,Inc?,clone,254,78.0
ParA,12538,PF32plasmidpartitionprotein,Inc?,pl35,249,75.9
ParA,8972,"DNA-bindingprotein,excisionasefamily",Inc?,pTHEOS02,323,94.4
ParA,8972,"soi-likeprotein-ATPaseinvolvedinchromosomepartitioning,ParA",Inc?,pTA78,323,*
ParA,8972,chromosomepartitioningproteinParA,Inc?,pTP143,321,82.4
ParA,15622,resolvase,Inc?,p123,214,*
ParA,15622,stability/partitioningdeterminant,Inc?,pP9014,213,74.4
ParA,15622,proteincontainingresolvaseN-terminaldomain,Inc?,pHP-42,211,88.9
ParA,15622,"ParAprotein,resolvase",Inc?,p7ME01,207,90.3
ParA,15622,resolvase,Inc?,unnamed,152,96.7
ParA,92884,ParAfamilyATPase,Inc?,byi,388,*
ParA,73070,putativeplasmidpartitioningproteinParA,Inc?,pPVA1,244,100.0
ParA,12715,IncC1partitioningprotein,Inc?,pMBUI1,361,100.0
ParA,12715,IncC1partitioningprotein,Inc?,pKS208,361,82.9
ParA,12715,IncC1longformpartitioningprotein,Inc?,QKH54,361,100.0
ParA,12715,IncC2partitioningprotein,Inc?,pKS208,270,82.9
ParA,12715,IncC2shortformpartitioningprotein,Inc?,QKH54,257,*
ParA,12715,IncC2partitioningprotein,Inc?,pMBUI1,257,100.0
ParA,12715,"IncCpartitioningprotein,longform,ParAlike",Inc?,pAcX50c,257,71.6
ParA,97646,cobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,pBVB,234,*
ParA,13829,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,pOR12CC42,239,98.3
ParA,13829,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,pCC42,239,98.3
ParA,104372,Chromosome(plasmid)partitioningproteinParA,Inc?,pL21534-3,114,100.0
ParA,104372,Chromosome(plasmid)partitioningproteinParA,Inc?,pL21535-3,114,100.0
ParA,104372,Chromosome(plasmid)partitioningproteinParA,Inc?,pL21532-4,114,*
ParA,96991,ATPasesinvolvedinchromosomepartitioning,Inc?,pEIB202,250,*
ParA,96991,plasmidpartitionproteinParA-like,Inc?,pRILSR1,245,74.3
ParA,96992,chromosomepartitioningproteinParA,Inc?,Plasmid,250,*
ParA,13021,PF-32protein,Inc?,297,252,99.6
ParA,13021,ParApartitionprotein;BorreliaproteinfamilyPFam32,Inc?,cp32-11,252,94.0
ParA,13021,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,156a,252,99.6
ParA,13021,borreliaPFam32partitionprotein,Inc?,cp32-11,252,94.4
ParA,13021,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,WI91-23,252,*
ParA,13021,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,64b,252,99.6
ParA,13021,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,94a,252,99.6
ParA,13021,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,SV1,250,77.6
ParA,13021,PF-32protein,Inc?,JD1,250,99.6
ParA,98454,CobQ/CobB/MinD/ParAnucleotidebindingdomain,Inc?,1,215,*
ParA,47880,plasmidpartitioningproteinParA,Inc?,pAQ6,212,*
ParA,12993,PF-32plasmidpartitionprotein,Inc?,lpT28,252,99.6
ParA,12993,chromosomepartitioningproteinParA,Inc?,lp32-1,70,100.0
ParA,86707,plasmid-partitionproteinAParA,Inc?,pYU39,218,78.3
ParA,86707,hypotheticalprotein,Inc?,pKPN-852,60,*
ParA,16715,"chromosomepartitioningprotein,putative,ParAfamily",Inc?,CP1,199,*
ParA,16715,hypotheticalprotein,Inc?,CP1,167,100.0
ParA,47952,hypotheticalprotein,Inc?,unnamed,363,100.0
ParA,47952,Chromosome(plasmid)partitioningproteinParA,Inc?,pMRVIM0713,210,100.0
ParA,47952,"putativepartitionprotein,ParA-like",Inc?,pSMC1,210,100.0
ParA,47952,ParA1,Inc?,pXcB,210,100.0
ParA,14687,hypotheticalprotein,Inc?,pKPHS3,575,96.5
ParA,14687,ParA,Inc?,pTC2,401,97.8
ParA,14687,hypotheticalprotein,Inc?,pVCR94deltaX,319,100.0
ParA,14687,cobyricacidsynthaseCobQ,Inc?,pVPH1,268,76.2
ParA,14687,putativecobyrinicacidasynthase,Inc?,pKP13e,263,100.0
ParA,14687,ParA,Inc?,pEcl-Gr4873,263,100.0
ParA,14687,putativeParApartitionprotein,Inc?,pUMNK88,263,100.0
ParA,14687,putativeParApartitionprotein,inca/c,pAR060302,263,100.0
ParA,14687,chromosomepartitioningprotein,Inc?,XNC1,263,91.6
ParA,14687,putativeParApartitionprotein,Inc?,pPG010208,263,100.0
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,1,261,84.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCVM22425,261,100.0
ParA,14687,partitionproteinAIncCprotein,Inc?,pHM881QN,261,100.0
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pMRVIM0912,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pPSP-100,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pASP-a58,261,100.0
ParA,14687,ParApartioningATPaseprotein,Inc?,pNDM10505,261,99.6
ParA,14687,ParAprotein,Inc?,pNDM-US-2,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,p35734-141.404kb,261,98.7
ParA,14687,ParA-likepartitionprotein,inca/c,pRA1,261,98.7
ParA,14687,CobQ/CobB/MinD/ParAnucleotidebindingdomainprotein,Inc?,pSCEC2,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pSTY1-1896,261,100.0
ParA,14687,ParA,Inc?,pNDM1,261,99.6
ParA,14687,ParA,Inc?,pNDM1,261,99.6
ParA,14687,putativeParApartitionprotein,inca/c,pYR1,261,100.0
ParA,14687,ParAchromosomepartitioningprotein,Inc?,pNDM10469,261,99.6
ParA,14687,ParA,Inc?,pNDM-KN,261,99.6
ParA,14687,ParAfamilyATPase,Inc?,4,261,85.9
ParA,14687,chromosomepartitioningproteinParA,Inc?,pIOMTU433,261,99.6
ParA,14687,PartitioningATPaseproteinParA,Inc?,pNDM-EcoGN568,261,99.6
ParA,14687,putativeParApartitionprotein,Inc?,pYU39,261,100.0
ParA,14687,ParA-likepartitionprotein,Inc?,:,261,99.6
ParA,14687,putativeParApartitionprotein,Inc?,pSN254b,261,100.0
ParA,14687,ParApartitionprotein,Inc?,pR55,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCVMN1543,261,100.0
ParA,14687,putativeParApartitionprotein,Inc?,p11663,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN007428,261,100.0
ParA,14687,ParApartioningATPaseprotein,Inc?,pNDM102337,261,99.6
ParA,14687,ParAChromosome(plasmid)partitioningprotein,Inc?,pEC2-NDM-3,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pSAN1-1736,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pVAS3-1,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN007426,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCVM22513,261,100.0
ParA,14687,putativeParAfamilypartitionATPase,Inc?,p1643,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCVM21538,261,100.0
ParA,14687,plasmidpartitioningproteinAParA,Inc?,p33676,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN007427,261,100.0
ParA,14687,ParA,Inc?,pSRC119-A/C,261,100.0
ParA,14687,ParA,Inc?,pRMH760,261,99.6
ParA,14687,partiotionproteinAIncCprotein,inca/c,pP91278,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pKOX-86d,261,100.0
ParA,14687,cobalaminbiosynthesisprotein,Inc?,pKHM-1,261,91.6
ParA,14687,partiotionproteinA,Inc?,pVC1447,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCVM21550,261,100.0
ParA,14687,ParA,Inc?,p39R861-4,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN007425,261,100.0
ParA,14687,putativeParApartitionprotein,inca/c,pIP1202,261,100.0
ParA,14687,cobyricacidsynthase,Inc?,2964TF,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN000934,261,100.0
ParA,14687,Chromosomepartitioningprotein,Inc?,:,261,91.6
ParA,14687,PartitioningATPaseproteinParA,Inc?,pNDM-PstGN576,261,99.6
ParA,14687,plasmidpartitioningproteinParA,Inc?,pSD,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pAB04-1,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN000405,261,100.0
ParA,14687,ParA,Inc?,pKAZ1,261,100.0
ParA,14687,partiotionproteinAIncCprotein,Inc?,pYT3,261,100.0
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pRM12581,261,100.0
ParA,14687,ParA-likepartitioningprotein,Inc?,pTR2,261,99.6
ParA,14687,partiotionproteinAIncCprotein,inca/c,pP99-018,261,100.0
ParA,14687,partiotionproteinAIncCprotein,Inc?,pVC1307,261,100.0
ParA,14687,ParA,Inc?,pKP1-NDM-1,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pAhD4-1,261,87.2
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,p6234-178.193kb,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pKPC,261,99.6
ParA,14687,ParA-likepartitioningprotein,Inc?,pRAx,261,98.7
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pKAZ4,261,99.6
ParA,14687,putativeParApartitionprotein,Inc?,pIMP-PH114,261,100.0
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pKAZ3,261,100.0
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pKAZ2,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCAV1193-166,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,p6409-202.186kb,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pEC732,261,99.6
ParA,14687,Chromosome(plasmid)partitioningproteinParA,Inc?,pRM13514,261,100.0
ParA,14687,cobyricacidsynthaseCobQ,Inc?,pNDM-SAL,261,99.6
ParA,14687,putativeParApartitionprotein,inca/c,pSN254,261,100.0
ParA,14687,ParA-likepartitionprotein,Inc?,pNDM-1,261,99.6
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pYDC637,261,100.0
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pCFSAN007405,261,100.0
ParA,14687,PartitionproteinParA,Inc?,pPHDP70,260,76.2
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,pVPH2,260,76.2
ParA,14687,ParA,Inc?,pKP-Gr642,245,76.3
ParA,14687,ParA,Inc?,pKP-Gr8143,245,76.3
ParA,14687,ParA,Inc?,IncA/C-LS6,245,76.3
ParA,14687,ParA,Inc?,pRH-1238,245,76.3
ParA,14687,conservedhypotheticalprotein,inca/c,pAM04528,235,99.6
ParA,14687,conservedhypotheticalprotein,inca/c,pAR060302,235,99.6
ParA,14687,conservedhypotheticalprotein,inca/c,peH4H,235,99.6
ParA,14687,hypotheticalprotein,Inc?,pAQU2,234,100.0
ParA,14687,putativeParApartitionprotein,Inc?,pAPEC1990,227,*
ParA,14687,cobalaminbiosynthesisproteinCobQ,Inc?,unnamed,196,*
ParA,14687,hypotheticalprotein,Inc?,pMR0211,121,*
ParA,11754,chromosomepartitioningproteinParA,Inc?,pLIMLP1,272,*
ParA,11754,chromosomepartitioningproteinParA,Inc?,pLIMHP1,272,100.0
ParA,7717,Putativestability/partitioningprotein,Inc?,pKPYL2,382,91.4
ParA,7717,ParA,Inc?,R471,349,99.7
ParA,7717,ParA,Inc?,pSEM,349,99.7
ParA,7717,putativeplasmidpartitionATPase,Inc?,pACM1,349,99.7
ParA,7717,ParA,Inc?,2964TF,349,99.7
ParA,7717,ParA,Inc?,pKPoxa-48N1,349,*
ParA,7717,ParA,Inc?,pKPoxa-48N2,349,100.0
ParA,7717,ParA,Inc?,R1215,349,99.7
ParA,7717,ParA,Inc?,R69,349,99.7
ParA,7717,PutativeplasmidpartitionATPase,Inc?,6411TF,349,99.7
ParA,7717,ParA,Inc?,LM6771,349,99.7
ParA,7717,Putativestability/partitioningprotein,Inc?,pCAR10,326,86.5
ParA,7717,plasmidsegregationproteinParM,Inc?,pETEC,326,86.5
ParA,7717,parmprotein,Inc?,p628-CTXM,326,86.2
ParA,7717,ParA,Inc?,pJIE174,326,86.2
ParA,7717,plasmidsegregationproteinParM,Inc?,pVR50A,326,86.5
ParA,7717,Putativestability/partitioningprotein,Inc?,pFAM22871,326,86.2
ParA,7717,Plasmidsegregationprotein,Inc?,pSH4469,326,86.2
ParA,7717,ParA,Inc?,pKPC-LKEc,326,86.2
ParA,7717,plasmidsegregationproteinparM,Inc?,pKHSB1,326,86.2
ParA,7717,Putativestability/partitioningprotein,Inc?,pSE115,326,86.2
ParA,7717,plasmidsegregationproteinParM,Inc?,pSKLX3330,326,86.2
ParA,7717,partitionproteinParA,Inc?,pEB3,326,86.2
ParA,7717,plasmidsegregationproteinparM,Inc?,pEK204,326,86.2
ParA,7717,ParA,Inc?,pKP112,324,100.0
ParA,7717,plasmidsegregationproteinParM,Inc?,pIGT15,324,99.7
ParA,7717,ParA,Inc?,pRA35,324,100.0
ParA,7717,stbAfamilyprotein,Inc?,pKOI-34,324,99.7
ParA,7717,ParA,Inc?,pJEG011,324,99.7
ParA,7717,ParA,Inc?,pIMP-HB623,324,99.7
ParA,7717,ParA,Inc?,pFOX-7a,324,100.0
ParA,7717,ParA,Inc?,pNDM-OM,324,100.0
ParA,7717,plasmidsegregationproteinParM,Inc?,pARM26,324,99.7
ParA,7717,ParA,Inc?,unnamed,324,100.0
ParA,7717,plasmidpartitionproteinA,Inc?,pNDM-HK,324,99.7
ParA,7717,Putativestability/partitioning,Inc?,R830b,324,99.7
ParA,7717,ParA,incl/m,pCTXM360,324,99.7
ParA,7717,ParA,Inc?,pCF29,324,100.0
ParA,7717,Putativestability/partitioningproteinencodedwithinprophage,Inc?,pMRVIM1012,324,99.4
ParA,7717,ParA,incl/m,pCTX-M3,324,99.7
ParA,7717,ParA,incl/m,pEL60,324,99.7
ParA,7717,ParA,Inc?,pOXA48-Pm,324,99.7
ParA,7717,ParA,Inc?,pEl1573,324,99.7
ParA,7717,ParA,Inc?,pNE1280,324,99.4
ParA,7717,ParA,Inc?,pOXA-48,324,100.0
ParA,7717,ParA,Inc?,pKpn-E1.Nr7,324,100.0
ParA,7717,TypeIplasmidpartioningprotein,Inc?,R621a,140,100.0
ParA,46013,ATPaseinvolvedinchromosomepartitioning,Inc?,pMIC7113.05,262,72.7
ParA,46013,ParAfamilychromosomepartitioningATPase,Inc?,pGLO7428.03,249,*
ParA,46013,Cobyrinicacidac-diamidesynthase,Inc?,pANACY.03,248,73.1
ParA,12004,chromosome(plasmid)partitioningproteinParA,Inc?,pGM3709,268,*
ParA,47959,partitioningproteinParA,Inc?,pLM20P4,204,*
ParA,69666,"ATPasesinvolvedinchromosomepartitioning,ParAfamilyprotein",Inc?,pGKT3,334,*
ParA,86900,ParA,Inc?,pAKD1,58,*
ParA,46275,PutativechromosomepartitioningproteinParA,Inc?,p74,243,100.0
ParA,46275,ParA-likeprotein,Inc?,p74,243,*
ParA,4187,"ATPase,ParAtype",Inc?,pRSKD131B,511,78.2
ParA,4187,"cobyrinicacida,c-diamidesynthase",Inc?,pWS8N,484,78.2
ParA,4187,"Cobyrinicacida,c-diamidesynthase",Inc?,pRSPH01,484,77.9
ParA,4187,plasmidpartitioningproteinparA,Inc?,pGal,471,76.0
ParA,4187,putativeplasmidpartitionproteinA,Inc?,pPGA2,471,75.8
ParA,4187,putativeplasmidpartitionproteinA,Inc?,pPGA1,471,75.8
ParA,4187,RB101,Inc?,pSD20,469,75.2
ParA,4187,SopAprotein(PlasmidpartitionproteinA),Inc?,unnamed,469,76.1
ParA,4187,chromosomepartitioningprotein,Inc?,unnamed,468,78.4
ParA,4187,putativereplicationprotein,Inc?,pTB2,463,98.7
ParA,4187,partitioningproteinParA,Inc?,pDSHI02,463,76.9
ParA,4187,ParA-likeprotein,Inc?,pRLO149,463,*
ParA,4187,Cobyrinicacidac-diamidesynthase,Inc?,unnamed,462,73.6
ParA,4187,plasmidpartitioningproteinParA,Inc?,pMaD10,462,75.6
ParA,4187,"cobyrinicacida,c-diamidesynthase",Inc?,Plasmid3,460,81.0
ParA,44876,hypotheticalprotein,Inc?,unnamed,363,100.0
ParA,44876,putativeproteininvolvedinpartition,Inc?,pJM1,323,100.0
ParA,44876,ParA-likepartitioningprotein(nucleotidebindingdomain),Inc?,p67vangNB10,273,100.0
ParA,44876,putativepartitionprotein,Inc?,pEIB1,273,*
ParA,8117,cobQ/CobB/MinD/ParAnucleotide-bindingdomainprotein,Inc?,pPSA1-1,340,*
ParA,15008,chromosomepartitioningproteinParA,Inc?,pCJDM67,222,*
ParA,15008,chromosomepartitioningproteinParA,Inc?,pVir,222,99.1
ParA,15008,ChromosomepartitioningproteinParA,Inc?,pOR12Vir,222,100.0
ParA,15008,chromosomepartitioningproteinParA,Inc?,pCj2,222,99.1
ParA,15008,unknown,Inc?,pVir,222,99.1
ParA,15008,paraprotein,Inc?,pVir,222,99.1
ParA,15008,chromosomepartitioningproteinParA,Inc?,pRM1875,222,100.0
ParA,15008,putativeplasmidpartioningParAprotein,Inc?,pVir,222,99.1
ParA,2880,MinD/ParAfamilyplasmidpartitioningprotein,Inc?,pST0210E1,546,100.0
ParA,2880,MinD/ParAfamilyplasmidpartitioningprotein,Inc?,pINGR16-02E1,546,*
ParA,2880,plasmidpartitioningproteinoftheMinD/ParAfamily,Inc?,p12/29,546,98.5
ParA,2880,plasmidpartitioningproteinoftheMinD/ParAfamily,Inc?,pFWSKR40E1,546,100.0
ParA,2880,plasmidpartitioningproteinoftheMinD/ParAfamily,Inc?,pFI1111E1,546,100.0
ParA,2880,plasmidpartitioningproteinoftheMinD/ParAfamily,Inc?,pSWKR38E2,546,100.0
ParA,74223,CobQ/CobB/MinD/ParAnucleotidebindingdomain,Inc?,2,218,*
ParA,45574,chromosomepartitioningproteinParA,Inc?,pMC1,258,*
ParA,4829,PlasmidreplicationproteinRepA,Inc?,pWENMAR1,459,71.5
ParA,4829,plasmidpartitioningproteinParA,Inc?,pMaD5,446,74.7
ParA,4829,putativereplicationproteinParA,Inc?,pRLO149,434,*
ParA,4829,PlasmidreplicationproteinRepA,Inc?,pLokhon02,431,81.0
ParA,74345,ChromosomepartitioningproteinParA,Inc?,pmcr1,215,100.0
ParA,74345,plasmidpartitioningproteinParA,Inc?,pUMNF18,215,*
ParA,74345,Chromosome(plasmid)partitioningproteinParA,Inc?,pSH146,215,100.0
ParA,74345,ParAprotein,Inc?,pAF48,215,100.0
ParA,74345,putativeParA,Inc?,pESTMCR,215,100.0
ParA,12605,partitioningprotein,Inc?,unnamed2,299,97.0
ParA,12605,putativepartitioningprotein,Inc?,p3ABAYE,299,97.0
ParA,12605,partitioningprotein,Inc?,p6411-89.111kb,299,97.0
ParA,12605,partitionproteinParA,Inc?,p255n,258,99.6
ParA,12605,Chromosome(plasmid)partitioningproteinParA,Inc?,pMS32-1,258,100.0
ParA,12605,partitioningprotein,Inc?,pXBB1-8,258,98.4
ParA,12605,partitionproteinParA,Inc?,pM131-2,258,99.6
ParA,12605,ParA,Inc?,pD36-4,257,82.1
ParA,11624,ParA-likeprotein,Inc?,pGui1,274,*
ParA,45471,ChromosomepartitioningproteinparA,Inc?,1,260,*
ParA,45471,ChromosomepartitioningproteinParA,Inc?,:,212,90.1
ParA,6049,ATPaseinvolvedinplasmidpartitioningParA,Inc?,pMOL28,396,71.8
ParA,10400,plasmidpartitioningprotein,Inc?,pRWC72a,349,99.7
ParA,10400,ParA,proma,pTer331,298,*
ParA,10400,Resolvase,Inc?,pMRVIM0713,297,71.2
ParA,10400,resolvaseprotein,Inc?,pB12,288,72.9
ParA,10400,ParA,Inc?,pAKD33,283,75.5
ParA,10400,ParA,Inc?,pAKD14,283,75.5
ParA,10400,ParA,Inc?,pAKD31,283,75.5
ParA,10400,Res,Inc?,pBHB,283,75.5
ParA,10400,helix-turn-helixprotein,Inc?,pSEHO0A1,283,75.5
ParA,10400,ParA,Inc?,pAKD17,283,75.5
ParA,10400,ParA,Inc?,pAKD15,283,75.5
ParA,10400,resolvase,Inc?,pDB1,283,75.5
ParA,10400,DNAresolvaseParA,Inc?,pA22732-IMP,283,75.5
ParA,10400,ParA,Inc?,pAKD18,278,72.8
ParA,10400,resolvase,Inc?,1,245,75.7
ParA,10400,ParA,Inc?,pSFA231,235,92.4
ParA,10400,resolvase,incp,pIJB1,232,90.1
ParA,10400,resolvase,incp,pJP4,219,74.6
ParA,10400,"ParA1,resolvase",Inc?,PSP21,219,71.7
ParA,10400,"ParA,longform",incp,pBS228,219,71.7
ParA,10400,"ParA,longform",Inc?,PB11,219,71.7
ParA,10400,ParA:resolvase,Inc?,pMBUI8,219,74.6
ParA,10400,hypothetical23.9kDaprotein,proma,pSB102,218,70.6
ParA,10400,resolvase,Inc?,unnamed,152,96.7
ParA,5836,RepAreplicationprotein,Inc?,pNL1,420,100.0
ParA,5836,"Cobyrinicacida,c-diamidesynthase",Inc?,pNL1,401,*
ParA,5836,plasmidpartitioningproteinParA,Inc?,pCADAB1,401,95.8
ParA,5836,chromosomepartitioningprotein,Inc?,p1,401,95.5
ParA,72327,ChromosomepartitioningproteinparA,Inc?,3,260,*
ParA,72327,Cobyrinicacidac-diamidesynthase,Inc?,pGBRO01,258,70.5
ParA,74614,ParA1,Inc?,pREIS1,210,100.0
ParA,74614,PlasmidpartitioningproteinParA,Inc?,pREISMN,210,*
ParA,74960,ParAfamilychromosomepartitioningprotein,Inc?,pACIX904,203,*
ParA,47377,putativepartitioningprotein(ParA),Inc?,p48/10,221,*
ParA,47377,chromosomepartitioningATPaseparA,Inc?,p0908,219,88.6
ParA,5895,"ATPase,ParAtype",Inc?,cai42,399,*
ParA,5895,plasmidpartitioningproteinRepA,Inc?,unnamed1,392,84.3
ParA,5895,"cobyrinicacida,c-diamidesynthase",Inc?,Plasmid2,392,84.3
ParA,5895,plasmidpartitioningproteinRepA,Inc?,unnamed,392,84.3
ParA,5895,"ATPase,ParAtype",Inc?,B,392,83.1
ParA,5895,"ATPase,ParAtype",Inc?,pRSKD131A,392,83.3
ParA,11339,Cobyrinicacidac-diamidesynthase,Inc?,pBMUL01,280,*
ParA,11339,partitionproteinParA,Inc?,pBPSE01,278,72.0
ParA,11339,partitioningprotein,Inc?,pTGL1,277,100.0
ParA,99507,Chromosome(plasmid)partitioningproteinParA,Inc?,pFORC4,191,*
ParA,9237,putativechromosomepartitioningproteinParA,Inc?,pPSMK1,318,*
ParA,72751,ParAfamilyATPase,Inc?,pCFPG3,251,*
ParA,12473,hypotheticalprotein,Inc?,pMG2200,602,*
ParA,12473,putativeSoj,Inc?,pRUM,267,79.6
ParA,12473,Sojpartitioningprotein,Inc?,pS177,267,79.6
ParA,12473,plasmid-partitioningprotein,Inc?,AUS0004,267,79.6
ParA,12473,chromosomepartitioningprotein,Inc?,pRUM-like,267,79.6
ParA,12473,plasmid-partitioningprotein,Inc?,p2,267,79.6
ParA,12473,partitioningprotein,Inc?,pF856,267,79.6
ParA,12473,chromosomepartitioningproteinParA,Inc?,unnamed3,262,79.6
ParA,12473,chromosomepartitioningproteinParA,Inc?,pA6981,262,79.6
ParA,12473,chromosomepartitioningproteinParA,Inc?,p4,262,79.6
ParA,12473,chromosomepartitioningproteinParA,Inc?,pWCF-TC1,262,79.6
ParA,12473,"sojsuperfamily,ParAtypechromosomepartitionprotein",Inc?,EF62pC,260,100.0
ParA,12473,ParAfamilyprotein,Inc?,pTEF2,260,*
ParA,12473,ParA,Inc?,pBEE99,260,100.0
ParA,44712,"chromosomepartitioningprotein,ParA",Inc?,pMM23,276,*
ParA,44712,"cobyrinicacida,c-diaminesynthase",Inc?,1,268,98.1
ParA,44712,"Cobyrinicacida,c-diaminesynthaseorchromosomepartitioningproteinParA",Inc?,pMAB23,268,100.0
ParA,13193,stage0sporulationproteinJ,Inc?,SV1,255,100.0
ParA,13193,stage0sporulationproteinJ,Inc?,29805,255,92.4
ParA,13193,chromosomepartitioningproteinParA,Inc?,lp28-2,255,92.0
ParA,13193,stage0sporulationproteinJ,Inc?,ZS7,255,92.0
ParA,13193,stage0sporulationproteinJ,Inc?,lp28-2,255,100.0
ParA,13193,ParApartitionprotein;BorreliaproteinfamilyPFam32,Inc?,lp28-2,255,99.6
ParA,13193,stage0sporulationproteinJ,Inc?,N40,255,92.4
ParA,13193,stage0sporulationproteinJ,Inc?,64b,255,92.0
ParA,13193,PF-32protein,Inc?,lp28-2,250,*
ParA,5715,ParA,Inc?,pSBAL11702,404,*
ParA,97240,ParA-likepartitioningprotein,Inc?,pTK2,244,*
ParA,14892,plasmidpartitioningfamilyproteinParA,Inc?,plasmid1,224,*
ParA,14892,cobyrinicacidac-diamidesynthase,Inc?,unnamed1,178,99.4
ParA,48317,CobQ/CobB/MinD/ParAnucleotidebindingdomain,Inc?,3,204,*
ParA,6210,plasmidpartitioningproteinParA,Inc?,pGal,389,*
ParA,45372,ParA-likepartitioningprotein,Inc?,pMBUI6,262,*
